"","x","y"
"mage6.24.18.11.11.12",0.470800000000001,0
"mage6.24.18.11.11.13",0.578870000000001,0.120910000000001
"mage6.24.18.11.11.14",0.485780000000001,0.204370000000001
"mage6.24.18.11.11.15",0.400180000000001,0.352030000000001
"mage6.24.18.11.11.16",0.52002,0.438700000000001
"mage6.24.18.11.11.17",0.518950000000001,0.36915
"mage6.24.18.11.11.18",0.501830000000001,0.528580000000001
"mage6.28.9.12.12.1",0.23112,0
"mage6.28.9.12.12.2",0,0.00749000000000003
"mage6.28.9.12.12.3",0.11663,0.12305
"mage6.28.9.12.12.4",0.51788,0.20009
"mage6.28.9.12.12.5",0.535,0.23647
"mage6.28.9.12.12.6",0.51253,0.15515
"mage6.28.9.12.12.7",0.42907,0.20865
"mage6.28.9.12.12.8",0.50611,0.2782
"mage6.28.9.12.12.9",0.41302,0.37236
"mage6.32.2.13.13.1",0,0
"mage6.32.2.13.13.2",0.0117699999999999,0.0748999999999995
"mage6.35.8.14.14.1",0,0.111280000000001
"mage6.35.8.14.14.2",0.0213999999999995,0.17013
"mage6.35.8.14.14.3",0.08774,0.25252
"mage6.35.8.14.14.4",0.04601,0.0845300000000007
"mage6.35.8.14.14.5",0.10272,0
"mage6.35.8.14.14.6",0.28141,0.0888099999999998
"mage6.35.8.14.14.7",0.199019999999999,0.1605
"mage6.35.8.14.14.8",0.240749999999999,0.0706199999999996
"mage6.38.3.15.15.1",0.22791,0
"mage6.38.3.15.15.2",0.18297,0.08025
"mage6.38.3.15.15.3",0,0.17227
"mage6.44.6.16.16.1",0.20758,0.16906
"mage6.44.6.16.16.2",0.308159999999999,0.00321000000000012
"mage6.44.6.16.16.3",0,0.1177
"mage6.44.6.16.16.4",0.21828,0
"mage6.44.6.16.16.5",0.0320999999999997,0.0856000000000005
"mage6.44.6.16.16.6",0.11449,0.0770399999999999
"mage6.44.3.17.17.1",0.331700000000001,0.19046
"mage6.44.3.17.17.2",0.164780000000001,0.19367
